"Text","Reason","Label","Source of Data","Date"
"বাংলাদেশের অ্যাডভেঞ্চার মানেই বান্দরবান","","positive","FP","10/11/2020"
"সাজেক নিয়ে এতো মাতামাতি দেখে আসলেই খারাপ লাগে ভাই। জায়গা টাকে একদম ওভাররেটেড বানায়া ফেলসে।","","positive","FP","10/11/2020"
"বান্দরবন এর কাছে সাজেক কিছুই না ","","positive","FP","10/11/2020"
" ভিড় কম, পরিবেশ অকৃত্রিম সৌন্দর্য।","","positive","FP","10/11/2020"
"১৬৬০ ফুট ২ ঘন্টার খাড়া ট্রেকিং করার পর এই মনোরম দৃশ্য দেখার সৌভাগ্য হয়।","","positive","FP","10/11/2020"
"সাজেক - যদি হয় মেঘ এর নদী , মারায়ণ তং আলীকদম, থানচি - হবে মেঘ এর সমুদ্র 😍","","positive","FP","10/11/2020"
"আমাদের শেরপুর জেলার গারো পাহাড়ের মধ্য দিয়ে যাওয়ার সময় মনোরম দৃশ্য মন কেড়ে নেয় সবার","","negative","FP","10/11/2020"
"এক অপূর্ব মেঘের রাজ্য কেওক্রাডং","","positive","FP","10/11/2020"
"পানির মাঝে ভাস্তে এত টাকা দিয়া কেউ যাইবো না","","positive","FP","10/11/2020"
"জাইতাম না এখানে! বাংলাদেশের ট্রাভেল স্পটগুলা ওভাররেটেড হয়ে যাইতেছে। এই টাকায় বাহিরের দেশে গিয়ে ঘুরে আসা যায়।","","positive","FP","10/11/2020"
"পাগলা কুত্তাকামরাইছে এই ফালতু জায়গা দেখতে যাইবো এত টাকা খরচ কইরা, নৌকা ভাড়া ৭০০ টাকার শোক এখনো ভুলতে পারি নাই। ","","negative","FP","10/11/2020"
"হুদাই পানি আর গাছ দেখার কোনো ইচ্ছে নাই","","positive","FP","10/11/2020"
"রাতারগুলের পানি ঘোলা পরিবেশ অপরিষ্কার অপরিচ্ছন্ন","","positive","FP","10/11/2020"
"মহানন্দার তীরে,তেঁতুলিয়া, পঞ্চগড়, চলে যেতে পারেন দেশের শেষ প্রান্তে একটু প্রশান্তি খুঁজে। ❤","","positive","FP","10/11/2020"
"সাজেকের এমন সকাল দেখবো বলে,আমি কত শতরাত জেগে ছিলাম","","positive","FP","10/11/2020"
"লাদাখ স্বপ্নের একটা জায়গা।","","negative","FP","10/11/2020"
"দিদি নৈনিতাল গিয়ে দেখো অসাধারণ জায়গা","","positive","FP","10/11/2020"
"আমি মেঘালয় গিয়েছিলাম অপূর্ব সুন্দর প্রাকৃতিক সৌন্দর্য বেষ্টিত জায়গা","","positive","FP","10/11/2020"
"সবুজে মোড়া ছবির মত সুন্দর এই উপত্যকায় থাকার জন্য আছে চা বাগানের ঢালে এক ভীষণ সুন্দর ও মিষ্টি একটি রিসর্ট, যার নাম ‘রেনবো ভ্যালি রিসর্ট’। ঠিক যেন শিল্পীর তুলিতে একটা সবুজ ক্যানভাসে কয়েকটা রঙিন বিন্দু আঁকা একটা ছবি। ","","positive","FP","10/11/2020"
"এখানে অবসর যাপনে এসে বিশুদ্ধ প্রকৃতির মাঝে সারাদিন ধরে চা বাগান, পাহাড় ও ভ্যালির অসাধারণ দৃশ্য দেখে ও হরেক রকম পাখির ডাক শুনে মন ভরে যায়।","","positive","FP","10/11/2020"
"ধূমপানের জন্য এক জায়গায় সূরয গাড়ি থামালে, নেমে দেখি চারিদিকে পাহাড় ঘেরা উপত্যকার মনমুগ্ধকর দৃশ্য। ","","positive","FP","10/11/2020"
"কটেজের ঘর ও বারান্দা থেকে সামনের চা বাগান ও চারপাশের পাহাড় ও নিচে ভ্যালির দৃশ্য দেখে সারাদিন কেটে যায়। প্রকৃতি যেন খুব যত্ন করে এখানে সবুজের বিভিন্ন শেডে সাজিয়ে তুলেছে এই কালিজ ভ্যালি।","","positive","FP","10/11/2020"
"কটেজের ঘর পরিস্কার পরিচ্ছন্ন ও আধুনিক সুযোগ সুবিধে যুক্ত। এরকম নিরিবিলি পাহড়ি জায়গার তুলনায় বন্দোবস্ত যথেষ্টই ভাল। ","","positive","FP","10/11/2020"
"এরকম নির্জন জায়গায় এত সুন্দর আরামদায়ক ব্যবস্থাপনা, এত সুস্বাদু হরেক রকম খাবারের আয়োজন, এসবে অভিভুত হতে হয়।","","positive","FP","10/11/2020"
"শুরু হল বৃষ্টি। ঘরে শুয়ে চা বাগানে বৃষ্টি পড়া দেখতে বেশ লাগছিল।","","positive","FP","10/11/2020"
"রাস্তা থেকে নিচের বৃষ্টিস্নাত চা বাগানের ঢাল ও রেনবো রিসর্টের দৃশ্য দেখে অপূর্ব লাগছিল।","","positive","FP","10/11/2020"
"পরদিন নববর্ষের সকালে নানা পাখির ডাকে পাহাড়ের প্রকৃতি আবার মুখরিত।","","positive","FP","10/11/2020"
"চা বাগানের পাশে বসে সেই বাগানেরই চা পান করার মজাটাই আলাদা।","","positive","FP","10/11/2020"
"খুব রঙিন শিলা এবং পরিষ্কার লেক - আমি এটি পছন্দ করি","","positive","FC","10/11/2020"
"হ্রদের জল আয়নার কাচের মতো এবং শিলার রঙগুলি আশ্চর্যজনক।","","positive","FC","10/11/2020"
"বোমন লেকের রঙিন শিলা রয়েছে তবে অনেকগুলি নয় এবং সেগুলি অনেক ছোট।","","negative","FC","10/11/2020"
"যদিও আমার মন্টানা রাজ্যটি সুন্দর, সেই শিলাগুলি রঙিন নয়।","","negative","FC","10/11/2020"
"আমার মুখোমুখি সেরা সানসেটগুলির মধ্যে একটি","","positive","FC","10/11/2020"
"আশ্চর্যজনক নুড়ি ও পাথর .. হ্রদের জল এত স্বচ্ছ।","","positive","FC","10/11/2020"
"আমরা সেখানে ছিলাম এবং সেই শিলাগুলি সত্যই সুন্দর! আমার বাচ্চারা তাদের রত্ন বলে ডেকেছিল 😊","","positive","FC","10/11/2020"
"আবহাওয়ার উপর নির্ভর করে এগুলি বেশ দুর্দান্ত দেখাচ্ছে।","","positive","FC","10/11/2020"
"সুন্দর! আমার লক স্ক্রিনটি মনে করিয়ে দেয়","","positive","FC","10/11/2020"
"অনেক বেশি যাদু এবং সুন্দর। আমি সারা রাত তারার রাতের আকাশের দিকে তাকাতে পারি।","","positive","FC","10/11/2020"
"মরক্কো এই সময় ভ্রমণের জন্য একটি আশ্চর্যজনক জায়গা, ভাল আবহাওয়া, আশ্চর্যজনক জায়গা, প্রচুর পুরানো ইতিহাস সহ বিভিন্ন সংস্কৃতি","","positive","FC","10/11/2020"
"শীতে প্যারিস দেখতে সুন্দর লাগছে! 😍","","positive","FC","10/11/2020"
"স্বপ্নের গন্তব্য • ব্লু লেগুন, আইসল্যান্ড 🇮🇸💙","","positive","FC","10/11/2020"
"স্কটল্যান্ড খুব সুন্দর দেখাচ্ছে 😍","","positive","FC","10/11/2020"
"দেখার জন্য সুন্দর জায়গা।","","positive","FC","10/11/2020"
"এটি আমাদের সেরা ছুটিগুলির মধ্যে একটি। 💗","","positive","FC","10/11/2020"
"খুব সুন্দর! পারফেক্ট! এটি আমার স্বপ্নের মধ্যে একটি 😍🙏","","positive","FC","10/11/2020"
"আমি এখানে এসেছি এবং দুর্দান্ত দৃশ্যটি মনে আছে!","","positive","FC","10/11/2020"
"শরত্কালে সেই অঞ্চলটি আশ্চর্যজনক!","","positive","FC","10/11/2020"
"আমাদের এখানে হানিমুন এবং ক্রিসমাস দিবস ছিল ডিসেম্বর 2018 এ 😍 এটি আশ্চর্যজনক! এমন সুন্দর জায়গা","","positive","FC","10/11/2020"
"অনেক বছর আগে আমি যখন কানাডায় অধ্যয়ন করছিলাম তখন আমি কুইবেককে খুব পছন্দ করতাম ... আমি ফিরে গিয়ে আবার দেখা করতে চাই ...","","positive","FC","10/11/2020"
"আমি এই জায়গাটির প্রেমে পড়েছি। কি দারুন. আমি চাই আমি সেখানে থাকতাম","","positive","FC","10/11/2020"
"আপনার যে সমস্ত সমস্যা রয়েছে তা সেই সুন্দর জায়গার কারণে অদৃশ্য হয়ে যাবে।","","positive","FC","10/11/2020"
"দেখতে অনেকটা স্বপ্নের মতো।","","positive","FC","10/11/2020"
"এটা কত সুন্দর ❤","","positive","FC","10/11/2020"
"এটি সত্যই আশ্চর্যজনক 😎","","positive","FC","10/11/2020"
"খুব সুন্দর। আমি ফিরে যেতে অপেক্ষা করতে পারি না!","","positive","FC","10/11/2020"
"বাহ !! আপনার প্রিয় ব্যক্তির সাথে সময় কাটাতে সুন্দর জায়গা","","positive","FC","10/11/2020"
"সর্বাধিক সুন্দর দেশ ... আমি প্রচুর ভ্রমণ করেছি! বিশ্বের সেরা ... শীতে শীত এবং গ্রীষ্মে স্নেহময় সবুজ ... পৃথিবীতে স্বর্গ 🌎 💚💙","","positive","FC","10/11/2020"
"আমি ভী সিক্সের সাথে একমত অত্যাশ্চর্য, সুন্দর, পৃথিবীতে স্বর্গ।","","positive","FC","10/11/2020"
"ভ্রমণ করার জন্য অনেক আশ্চর্যজনক জায়গা 😱❤️","","positive","FC","10/11/2020"
"এরকম আঁকাবাক যেটাই বলেন ঐ রুটে যাবার আসল ফিল পাওয়া যায় চাঁদের গাড়িতে গেলে।চাঁদের গাড়িতে যেতে যেতে বহুরুপী মেঘের খেলা দেখা যায়।","","positive","FP","19/11/2020"
" বগালেকে রাতে স্পেশাল ব্যাপার হচ্ছে খুব কাছ থেকে তারা দেখা যায় স্টার ফলিং দেখা যায় এক স্বপ্নের রাজ্য মনে হয়। ","","positive","FP","19/11/2020"
"হাটা ধরি সকাল ১১ টা হুট করেই চোখে দৃষ্টিগোচর হলো অসম্ভব সুন্দর, সাজানো গোছানো একটা গ্রাম দার্জিলিং পাড়া।","","positive","FP","19/11/2020"
"নিচে মেঘের ভেলা অার তার উপরে সূর্যদয়;সবমিলিয়ে একটা মোহ তৈরি হয়েছিল। ","","positive","FP","19/11/2020"
"ভেলায় চড়ে দেখতে লাগলাম অপার্থিব দেবতাখুম।খুমের যত ভেতরে যাচ্ছিলাম তত বেশী সৌন্দর্য চোখে ধরা দিচ্ছিল।","","positive","FP","19/11/2020"
"এটি ভালো একটি এডভেঞ্চার ট্রিপ।","","positive","FP","19/11/2020"
"এখানে তিন বেলা খাবার পাবেন, যা মোটামোটি মানের।","","neutral","FP","19/11/2020"
"পাহাড়ের পাদদেশে লেকের পারে চাঁদের আলোয় বার্বিকিউর উঠা ধুয়া আর গিটারে বাজানো গানের সুরে যেন এক অপার্থিব পরিবেশ তৈরি হয়েছিল।","","positive","FP","19/11/2020"
"পাহাড়ি উঁচুনিচু রাস্তা হওয়ায় এই পথটা অনেক দুর্গম এবং কষ্টসাধ্য। ","","negative","FP","19/11/2020"
"কম বয়সি বাচ্চা কিংবা বেশি বয়স্কদের এই পথে না যাওয়াই ভাল।","","negative","FP","19/11/2020"
" ঝর্নায় যাওয়ার পথটি অনেক পিচ্ছিল এবং রিস্কি","","negative","FP","19/11/2020"
"পাহাড়ের ঢালে ধান, হলুদ, মরিচ, আদা চাষ দেখে চোখ জুড়িয়ে যাবে।","","positive","FP","19/11/2020"
"চূড়ায় পৌছে আশেপাশের ভিউ দেখলে আপনার ভ্রমণ ক্লান্তি দুর হয়ে যাবে আশা করি! ","","positive","FP","19/11/2020"
"রাতে ঘুমানোর আগে ব্যাথার ট্যাবলেট খেয়ে ঘুমানো লাগতে পারে।","","negative","FP","19/11/2020"
"কেওক্রাডংয়ে পানির অনেক সংকট। ","","negative","FP","19/11/2020"
"কেওক্রাডংয়ের চুড়ায় বসে মেঘের আনাগোনা দেখা, সুর্যাস্ত দেখা, রাতে চাঁদের আলোয় পাহাড় দেখা এবং সকালে পাহাড়ের চূড়ায় সুর্য উদয় দেখা ছিল আমাদের জীবনের সেরা কিছু মুহুর্ত।","","positive","FP","19/11/2020"
"দুর্গম পাহাড়ি পরিবেশ হওয়ার কারনে আপনি যখন তখন যা চাইবেন তা পাবেন না। ","","negative","FP","19/11/2020"
"কেওক্রাডংয়ের হ্যালিপ্যডে প্রচুর জোকের উপদ্রব আছে। ","","negative","FP","19/11/2020"
"১২ থেকে ১৪ হাজার টাকা ডাকাতি ছাড়া এটা আর কিছুনা
","","negative","FP","19/11/2020"
"ভাবলেই খারাপ লাগে যে, রাস্তা হবার পর থেকে এই সুন্দর জায়গাটা কে সবাই মিলে নোংরা করে ছাড়ছে। ","","negative","FP","19/11/2020"
"এখনই রাস্তার পাশে প্লাস্টিকের স্তুপ তৈরি হচ্ছে। 😑","","negative","FP","19/11/2020"
"চমৎকার জায়গা। ১৪ কিলো পাহাড় ট্র‍্যাক করে আবার আসা।","","positive","FP","19/11/2020"
"কেওক্রাডং ব্যাক্তিমালিকানাধীন পাহাড়, যিনি পাহাড়ের মালিক তিনি কটেজেরও মালিক সো ব্যাবসায়ীক দিক চিন্তা করলে কখনোই অনুমতি দিবে না।","","negative","FP","19/11/2020"
"আমাকে যদি কেউ বলে বার বার কোথায় যেতে চাও , আমি বলবো বগালেক। ","","positive","FP","19/11/2020"
"চাঁদনী রাতে বগালেকে অপরুপ রুপ আমি ভুলতে পারি না।","","positive","FP","19/11/2020"
"পাহাড়ে  কোন খাসির মাংস পাওয়া যায় না।","","negative","FP","19/11/2020"
"ছবি না যেন মাখন। থ্যাংকু ভাই শেয়ার করার জন্য।পরিবার নিয়ে যাবার ইচ্ছে আছে","","positive","FP","19/11/2020"
"চিংড়ি ঝর্ণাটা জোশ! গোসলের পরে ক্লান্তি ঝেড়ে একদম নতুন উদ্যমে আবার ট্রেকিং করা যায়","","positive","FP","19/11/2020"
"গোসল করা যায়। তবে আর্মিরা সাঁতার কাটতে দেখলে প্যারা খাবেন।","","neutral","FP","19/11/2020"
"বন্ধু ফিলিংসগুলো এখনো তরতাজা😍 এখনো অনুভব করতে পারি😍","","positive","YC","19/11/2020"
"এশিয়া আর আকবরিয়ার দুই খুব নামকরা। ","","positive","YC","19/11/2020"
"তীক্ষ্ণ এলাচের ঝাঁঝ যুক্ত এই কাচাগোল্লা এতো মিষ্টি!","","positive","YC","19/11/2020"
"এই কাচাগোল্লাকে সারা বাংলাদেশের মধ্যে আলাদা সুনাম দিয়েছে।","","positive","YC","19/11/2020"
"জয়পুরহাটে যেয়ে শুনলাম শর্মার মিষ্টি খুব নামকরা এবং অনেক পুরনো ব্যবসা ওদের।","","positive","YC","19/11/2020"
"ব্রাহ্মণবাড়িয়ার ভোলাগিরির পর আরেক জায়গায় প্যাড়া সন্দেশ খেলাম, যেটা বেশ মুখে লাগার মতো।","","positive","YC","19/11/2020"
"নওগাঁয় দুই বেলায় দুই দোকানের দই খেলাম। কোনটাই খুব মুখে লাগার মতো না।","","positive","YC","19/11/2020"
"দোকান কিংবা বানানো ওইসময়ে ভালো হয় নাই।","","positive","YC","19/11/2020"
"সবগুলো মিষ্টি একটা নির্দিষ্ট মানের উপরে। প্যারাডাইস, বনলতা এসব খুব নামকরা মিষ্টির দোকান।","","positive","YC","19/11/2020"
"এতো এতো পদ আর এতো ভ্যারিয়েন্ট মিষ্টির, তাকায়ে থাকতেও যেন চোখের আরাম লাগে।","","positive","YC","19/11/2020"
"পাবনার দইও আমার মতে বগুড়ার মতো একটা আইকনিক খাবার হবার যোগ্যতা রাখে।","","positive","YC","19/11/2020"
"চাঁপাইনবাবগঞ্জ থেকে ফেরার পরে, শুনেছিলাম, রসকদম বিখ্যাত চাঁপাইয়ের।","","positive","YC","19/11/2020"
"রাজশাহী অঞ্চলের মানুষের কাছে এই শৌখিন খাবারের চাহিদা সেই পুরনো আমল থেকে। সেই চাহিদার সূত্রে হয়তো সেই থেকেই এই এলাকার মিষ্টির মান অতুলনীয়।","","positive","YC","19/11/2020"
"কোন একদিন হয়তো দিনভর মিষ্টি খাবার জন্যেই চলে যেতে হবে এই রাজশাহী বিভাগের অলিগলিতে।","","positive","YC","19/11/2020"
"ভাল মিষ্টি খাইতে হলে চলে যান মেহেরপুর জেলায়।","","positive","YC","19/11/2020"
"শিবগঞ্জ এর আদি চমচম! এটা মিস করে ফেললেন! অমায়িক স্বাদের জিনিস।","","positive","YC","19/11/2020"
"এইটার তুলনা হবে না রে। এইটা মিস করা আসলেই অন্যায় হইসে।","","positive","YC","19/11/2020"
"চমচমের ফ্যান কখনোই ছিলাম না, এটা খেয়ে ধারণা চেঞ্জ। টু মি, পোড়াবাড়ির চেয়ে এইটা অনেক জোস।","","positive","YC","19/11/2020"
"আমার কাছেও এটা বেস্ট অফ দ্যা চমচম মনে হয়েছে। অতুলনীয়।","","positive","YC","19/11/2020"
"চাপাই থেকে ফেরার পথে শিবগঞ্জ বাজারে আদি চমচম ট্রাই করবেন। টাংগাইলের বাইরে দেশের অন্যতম সেরা চমচম।","","positive","YC","19/11/2020"
"শিবগঞ্জের বিখ্যাত সেই আদি চমচম। চাপাই নবাবগঞ্জ গেলে আমার না খেলে যেন হয় ই না।","","positive","YC","19/11/2020"
"রাজশাহী বিভাগের প্রতিটা জেলার দই,মিষ্টি বিখ্যাত।","","positive","YC","19/11/2020"
"নাটোর,পাবনা,রাজশাহী,চাঁপাইনবাবগঞ্জ,বগুড়া,নঁওগা,সিরাজগঞ্জ,জয়পুরহাট প্রত্যেকটা জেলার মিষ্টিজাতীয় খাবার অতুলনীয় একে অপরের।","","positive","YC","19/11/2020"
"চাপাই নবাবগঞ্জ এর শিবগঞ্জ এর আদি চমচম না খেলে বুঝবেন ই না, মিস্টি আসলে কি জিনিস","","positive","YC","19/11/2020"
"আমার বাসা বগুড়ায় কিন্তু আকবরিয়া এশিয়া দই এখন আর ভাল লাগে না।।","","negative","YC","19/11/2020"
"মনিরুল ভাইয়ের মুখে দুধপুকুরিয়া নামটা শুনার পরেই গেঁথে গিয়েছিল মনে। ","","positive","YC","19/11/2020"
"কালীবাড়ির কাঁচাগোল্লা ভালো লেগেছে আমার।","","positive","YC","19/11/2020"
"এমন সুন্দর নামের যে কোনো বন আছে বাংলাদেশে এটাই জানতাম না।","","positive","YC","19/11/2020"
"অনেকটা শীর্ষেন্দুর অদ্ভুতুড়ে সিরিজের বিভিন্ন জায়গা যেমন কুঞ্জপুকুর, দুধসয়ার দ্বীপ এসবের কথা মাথায় চলে আসছিল। এমন চমৎকার যে অরণ্যের নাম সে ও নিশ্চয় অনেক মনোহর!","","positive","YC","19/11/2020"
"স্বচ্ছ কর্ণফুলীর জল কেটে ঢিমেতালে ফেরির এগিয়ে চলা, দূরে পাহাড়ের রেখা এসব দেখতে দেখতে সময়টা কেটে গেল ফুরুত করে।","","positive","YC","19/11/2020"
"চারপাশে গাছপালার মাঝখানে এঁকেবেঁকে চলে গেছে পাকা সড়ক। ছড়ার ওপর সুন্দর এক সেতু।","","positive","YC","19/11/2020"
"ওটা পেরিয়ে চারপাশে তাকালাম। বামে একটু দূরে গাছপালার ফাঁকে পুকুর, বাড়িঘর নজর কাড়ল।","","positive","YC","19/11/2020"
"বছর চল্লিশেকের, আলাপী কর্মকর্তাটি নিরাশই করলেন। বললেন, বনের ভেতর হাতির পাল আছে। খাবারের অভাবে মেজাজ এখন বড্ড চড়া।","","negative","YC","19/11/2020"
"বনের ভেতর হাতির পাল আছে। খাবারের অভাবে মেজাজ এখন বড্ড চড়া। পাহারা ছাড়া আমাকে জঙ্গলে ঢুকানো তাঁর পক্ষে সম্ভব নয়। ","","negative","YC","19/11/2020"
"পথের দুই পাশে গর্জনসহ বেশ কিছু বড় গাছ আছে। ভেতর দিকে ছোট গাছ, বড় গাছ, ঝোপ-জঙ্গল সব কিছুই নজর কাড়ল।","","positive","YC","19/11/2020"
"বিশালদেহী জন্তুটা পাহাড়ের ওপরের দিকে আর আপনি নিচে থাকলে, নিরাপদ ভাবার কোনো কারণ নেই নিজেকে। কারণ ওরা নাকি অদ্ভুত কায়দায় ছেচড়ে নেমে আসে দ্রুতগতিতে।","","negative","YC","19/11/2020"
"বসন্তবাউরি, টিয়া, কাঠঠোকরাসহ কিছু পরিচিত পাখি, আর স্তন্যপায়ীর মধ্যে এক জোড়া বানর ও গোটা কয়েক কাঠবিড়ালি এখন পর্যন্ত আনন্দ দিয়েছে আমার বন্যপ্রাণীপ্রেমী মনকে।","","positive","YC","19/11/2020"
"এরপরই শীতল জলের একটা ছড়ায় নামলাম আমরা। পা ডুবিয়ে হাঁটতে ভারি আনন্দ হচ্ছিল।","","positive","YC","19/11/2020"
"রাঙ্গামাটি-বান্দরবানসহ বিভিন্ন এলাকায় হাতিরা কোনঠাসা হয়ে পড়ছে বহুদিন হলো। কক্সবাজারে বছর কয়েক আগেও সংখ্যায় ছিল বেশ ভারি। তবে এখন মারা হচ্ছে যেভাবে চিরতরে হারাতে খুব দেরি নেই!","","negative","YC","19/11/2020"
"গত কয়েক দিনের মধ্যে তিনটাকে হত্যা করেছে লোভী মানুষেরা। নিশ্চয় দুধপুকুরিয়ার হাতিরাও ভালো নেই!","","negative","YC","19/11/2020"
"ভাই, আপনার বেড়ানোর জায়গাগুলো এখনো নতুন। নামগুলোও একটু অদ্ভুত সুন্দর।","","positive","YC","19/11/2020"
"বান্দরবান যাবার পথে যা দেখেছি তাতে বনের স্বাস্থ্য ভয়ানক খারাপ তা সহজেই অনুমান করা যায়৷","","negative","YC","19/11/2020"
"সব কটা বনের একই অবস্থা ভাই, আপনি এবছর যা দেখবেন ২ বছর পর গেলে তার অর্ধেক দেখতে পাবেন।","","negative","YC","19/11/2020"
"একেবারে সত্যি কথা বলেছেন ভাই। বন-পাহাড়, বন্যজন্তু একটার চেয়ে একটার খারাপ অবস্থা। হাতি দশ বছরও টিকবে না!","","negative","YC","19/11/2020"
"সেন্টমার্টিন বাংলাদেশের সবচেয়ে দক্ষিণে বঙ্গোপসাগরের উত্তর-পূর্বাংশে অবস্থিত ছোট একটি প্রবাল দ্বীপ।দ্বীপটির পর্যকটদের কাছে অতি জনপ্রিয়।","","positive","YC","19/11/2020"
"নাফ নদী পার হয়ে বঙ্গোপসাগর এর বেশ খানিকটা পথ যাওয়ার পর শুরু হলো ঢেউয়ের সাথে ট্রলার এর লড়াই, সাগর ঠান্ডা ই ছিল, কিন্ত তাও যথেষ্ট বেগ ছিল স্রোতের, দুলছিল ট্রলার, যেটুক এডভেঞ্চারাস ফিল ততটুকুই ভয়, সাথে প্রচন্ড রোদ।","","neutral","YC","19/11/2020"
"সেন্টমার্টিন এর কাছাকাছি পৌঁছোতেই, কাঙ্ক্ষিত নীল জল আর চারপাশের চোখ ধাধানো পরিবেশে ক্লান্তি টা অনেকাংশেই কমে গেছে।","","positive","YC","19/11/2020"
"হোটেল চেক ইন করে ফ্রেশ হয়ে খাওয়া দাওয়া শেষে নারিকেল জিঞ্জিরার বিখ্যাত ডাবের পানি পেটে চালান করে দারুচিনি বিচে গিয়ে জীবনের সবচেয়ে সুন্দর সুর্যাস্ত উপভোগ করলাম, অফ সিজন এর জন্য পর্যটক নেই বললেই চলে, প্রাইভেট আইল্যান্ড ফিল পাচ্ছিলাম, পরিবেশ টা ছিল অপার্থিব।","","positive","YC","19/11/2020"
"প্রায় সারারাত বিচেই আলোকবর্ষ দূরের তারাদের সাথে কাটালাম, আকাশটা বর্ণনা করার চেষ্টা করাও বোকামি, এর বর্ণনা হয়না, জীবনে প্রথমবার সেন্টমার্টিন আসাটা স্মরণীয় হয়ে রইল প্রথম দিনেই।","","positive","YC","19/11/2020"
"সকালে নাস্তা সেরে সাইকেল ভাড়া করে রওনা দিলাম ছেঁড়াদ্বীপ, বিচের মধ্যে সাইকেল চালানোর কষ্ট টের পাচ্ছিলাম বেশ","","positive","YC","19/11/2020"
"শেষমেষ পৌঁছালাম ছেঁড়াদ্বীপ, নীল পানির দেখা সেখানেই বেশী। বেশ খানিক্ষণ ঘুরাফেরা করলাম, ডাব খেলাম, উপভোগ করলাম ছেঁড়াদ্বীপ।","","positive","YC","19/11/2020"
"সন্ধ্যার দিকে বিচে গিয়ে সুর্যাস্ত ঠিকমতো দেখতে পেলাম না আবহাওয়ার জন্য, আকাশ মেঘলা ছিল, গুড়ি গুড়ি বৃষ্টির সাথে ভয় পাচ্ছিলাম সিগনালের, পরদিন ফেরা হবেনা নইলে৷","","negative","YC","19/11/2020"
"রাতে খেয়ে আবার বিচে গেলাম, অমাবস্যার জন্য বড় জোয়ারের সাথে দেখলাম সাগরের ভয়ঙ্কর রুপ, বিচ পার হয়ে দ্বীপের দিকে ধেয়ে আসছিলো স্রোত, সাথে তার ভয়াল আর্তনাদ। প্রায় মধ্যরাত পর্যন্ত ভয়ঙ্কর সুন্দর পরিবেশ টা উপভোগ করে ফিরে এসে ঘুম দিলাম।","","positive","YC","19/11/2020"
"বাংলাদেশের সুন্দর জেলাগুলোর মধ্যে সিলেট অন্যতম। সিলেটের সৌন্দর্য দেখে শেষ করা কঠিন।","","positive","YC","19/11/2020"
"বনের মধ্যে একটি ওয়াচ টাওয়ার রয়েছে। টাওয়ারের উপর থেকে বনটি অনিন্দ্য সুন্দর দেখতে লাগে।","","positive","YC","19/11/2020"
"বিছানাকান্দি :এটি সম্পর্কে নতুন করে বলার কিছু নেই। এটিকে বলা যায় পাথরের বিছানা। সাথে ভারতীয় সীমান্তথেকে বয়ে আসা ঠান্ডা সচ্ছ পানি জায়গাটিকে অসাধারন রূপ দিয়েছে। ","","positive","YC","19/11/2020"
"কুলুমছড়া সিলেটের গোয়াইনঘাট উপজেলার সীমান্তবর্তী একটি গ্রাম। ভারতীয় সীমান্তথেকে বয়ে আসা ঝর্ণাটিই কুলুমছড়া নামে পরিচিত। স্রোতের কলকল ধ্বনি ও পানির স্রোত জায়গাটিকে অসাধারন করে তুলেছে।","","positive","YC","19/11/2020"
"লক্ষনছড়া গোয়াইনঘাট উপজেলায় অবস্থিত। বিছানাকান্দি থেকে কিছুটা দূরে। ঝর্নার স্রোতধারার কাছে ভারতীয় সীমান্তে চলাচলের জন্য একটি সুন্দর ছোট ব্রিজ রয়েছে।","","positive","YC","19/11/2020"
"গোয়াইনঘাট উপজেলায় মেঘালয়ের কোল ঘেসে পান্তুমাই গ্রামের অবস্থান। গ্রামটি বাংলাদেশের সুন্দর গ্রামের মধ্যে একটি।","","positive","YC","19/11/2020"
"ভারতের চেরাপুঞ্জি থেকে বয়ে আসা পুরোটা খাল জুরে রয়েছে সবুজাভ রংয়ের পানি। পানির রং কিভাবে এমন হতে পারে সেটা নিজের চোখে না দেখলে বিশ্বাস করা মুশকিল। বিকেলের চেয়ে দুপুরের করা রোদেই পানির রংটা বেশি সুন্দর লেগেছে।","","positive","YC","19/11/2020"
"একসময় পর্যটকদের কাছে সিলেট মানেই ছিল জাফলং। পিয়াইন নদীর তীরে পাথর বিছানো জাফলং সত্যিই অসাধারন।","","positive","YC","19/11/2020"
"স্রোতধারার দূরে তাকালে দেখা যাবে ডাউকি ব্রিজ। আমি প্রথমবার যাই ২০০৩ সালে। সৌন্দর্যের দিক বিবেচনায় এখন আর আগের মত নেই।","","negative","YC","19/11/2020"
"ডিবির হাওরের অবস্থান সিলেটের জৈন্তাপুরে। মূলত কয়েকটি বিল নিয়ে মেঘালয়ের পাদদেশে এই হাওরের অবস্থান। বর্ষায় বিল জুরে ফুটে থাকে অজস্র লাল শাপলা। তাই শাপলার সৌন্দর্য উপভোগের জন্য খুব সকালে যাওয়াই উত্তম।","","positive","YC","19/11/2020"
"ভোলাগঞ্জ : জাফলং ও বিছানাকান্দির চেয়েও অনেক সুন্দর জায়গা এটি। এখানে দেখা মিলবে সাদা ও রঙিন পাথরের। ","","positive","FP","19/11/2020"
"সিলেটের কানাইঘাট উপজেলার উত্তর-পূর্ব সীমান্তে সচ্ছ পানির লোভা নদী, ব্রিটিশ আমলের চা বাগান, পাহার, টিলা, খাল, বিল নিয়ে লোভাছড়ার অবস্থান। এখানের আকর্ষনীয় স্থাপনা হল ব্রিটিশ আমলের তৈরি ঝুলন্ত একটি সেতু।","","positive","FP","19/11/2020"
